nLeptons,BJets,MET,VBF,single_e_met_bjets_vbf,single_mu_met_bjets_vbf
100000.0,59168.0,22407.0,12231.0,983.0,1224.0
100000.0,59213.0,20809.0,11014.0,957.0,1216.0
100000.0,59236.0,20829.0,11134.0,1287.0,1561.0
100000.0,56572.0,16623.0,8728.0,1140.0,1391.0
24307250.0,3602954.0,128358.0,5752.0,416.0,605.0
20925778.0,5241644.0,7184.0,201.0,9.0,17.0
12500000.0,6001686.0,70623.0,1354.0,85.0,133.0
9850000.0,4499330.0,86104.0,1853.0,53.0,74.0
18505572.0,5250127.0,11635.0,276.0,1.0,1.0
10000000.0,4234988.0,98936.0,1490.0,16.0,13.0
